mac;name
DE:DE:DF:00:00:00 ;Locally administered MAC address
E1:6C:63:00:00:00 ;Group address (multicast MAC address)
DA:4F:AC:00:00:00 ;Locally administered MAC address
C5:61:2C:00:00:00 ;Group address (multicast MAC address)
CA:FE:82:00:00:00 ;Locally administered MAC address
D9:97:BB:00:00:00 ;Group address (multicast MAC address)
D9:BE:1C:00:00:00 ;Group address (multicast MAC address)
FA:C1:16:00:00:00 ;Locally administered MAC address
E0:E7:49:00:00:00 ;
F3:D6:41:00:00:00 ;Group address (multicast MAC address)
C5:A5:3B:00:00:00 ;Group address (multicast MAC address)
CA:BC:0F:00:00:00 ;Locally administered MAC address
51:7A:04:00:00:00 ;Group address (multicast MAC address)
77:3D:41:00:00:00 ;Group address (multicast MAC address)
CC:3F:57:00:00:00 ;
4B:F5:33:00:00:00 ;Group address (multicast MAC address)
6E:1C:DB:00:00:00 ;Locally administered MAC address
62:C8:41:00:00:00 ;Locally administered MAC address
4F:77:BB:00:00:00 ;Group address (multicast MAC address)
7B:DB:97:00:00:00 ;Group address (multicast MAC address)
5D:FF:0B:00:00:00 ;Group address (multicast MAC address)
D4:C4:99:00:00:00 ;
46:AC:0A:00:00:00 ;Locally administered MAC address
5E:BA:EA:00:00:00 ;Locally administered MAC address
F6:F7:5B:00:00:00 ;Locally administered MAC address
7E:72:25:00:00:00 ;Locally administered MAC address
F5:82:11:00:00:00 ;Group address (multicast MAC address)
54:5F:D9:00:00:00 ;
FC:98:0C:00:00:00 ;
D2:BD:37:00:00:00 ;Locally administered MAC address
F5:1F:47:00:00:00 ;Group address (multicast MAC address)
62:B3:58:00:00:00 ;Locally administered MAC address
77:2F:62:00:00:00 ;Group address (multicast MAC address)
D6:1C:07:00:00:00 ;Locally administered MAC address
C3:8E:7E:00:00:00 ;Group address (multicast MAC address)
E6:D0:02:00:00:00 ;Locally administered MAC address
DD:14:9E:00:00:00 ;Group address (multicast MAC address)
C8:AD:D1:00:00:00 ;
F4:EF:0F:00:00:00 ;
D2:DC:C9:00:00:00 ;Locally administered MAC address
E9:39:1D:00:00:00 ;Group address (multicast MAC address)
F5:90:EA:00:00:00 ;Group address (multicast MAC address)
D7:BF:DB:00:00:00 ;Group address (multicast MAC address)
F5:E5:42:00:00:00 ;Group address (multicast MAC address)
E8:C2:BC:00:00:00 ;
E7:BD:16:00:00:00 ;Group address (multicast MAC address)
DC:EA:5D:00:00:00 ;
EA:3F:F0:00:00:00 ;Locally administered MAC address
D3:A8:C4:00:00:00 ;Group address (multicast MAC address)
CA:75:F4:00:00:00 ;Locally administered MAC address
51:15:CA:00:00:00 ;Group address (multicast MAC address)
55:D4:62:00:00:00 ;Group address (multicast MAC address)
6F:23:65:00:00:00 ;Group address (multicast MAC address)
2E:A8:43:00:00:00 ;Locally administered MAC address
56:83:89:00:00:00 ;Locally administered MAC address
DA:2C:51:00:00:00 ;Locally administered MAC address
F4:E5:B5:00:00:00 ;
64:3E:F7:00:00:00 ;
E2:6F:F4:00:00:00 ;Locally administered MAC address
4C:23:93:00:00:00 ;
72:10:06:00:00:00 ;Locally administered MAC address
E4:90:B5:00:00:00 ;
21:38:14:00:00:00 ;Group address (multicast MAC address)
11:C0:03:00:00:00 ;Group address (multicast MAC address)
F4:F5:6F:00:00:00 ;
C5:68:47:00:00:00 ;Group address (multicast MAC address)
D1:5A:73:00:00:00 ;Group address (multicast MAC address)
CF:CD:F2:00:00:00 ;Group address (multicast MAC address)
71:3B:62:00:00:00 ;Group address (multicast MAC address)
0A:51:5F:00:00:00 ;Locally administered MAC address
7E:4A:D5:00:00:00 ;Locally administered MAC address
15:5F:1F:00:00:00 ;Group address (multicast MAC address)
71:99:3B:00:00:00 ;Group address (multicast MAC address)
69:02:B6:00:00:00 ;Group address (multicast MAC address)
44:58:5E:00:00:00 ;
F0:D6:68:00:00:00 ;
CB:27:6E:00:00:00 ;Group address (multicast MAC address)
E9:D5:D0:00:00:00 ;Group address (multicast MAC address)
7A:A4:08:00:00:00 ;Locally administered MAC address
7A:3E:D9:00:00:00 ;Locally administered MAC address
56:93:4D:00:00:00 ;Locally administered MAC address
79:EC:62:00:00:00 ;Group address (multicast MAC address)
54:42:92:00:00:00 ;
FA:CE:C5:00:00:00 ;Locally administered MAC address
5C:32:6D:00:00:00 ;
72:BC:59:00:00:00 ;Locally administered MAC address
6C:17:F8:00:00:00 ;
D9:82:AD:00:00:00 ;Group address (multicast MAC address)
FF:32:1B:00:00:00 ;Group address (multicast MAC address)
F8:F2:FC:00:00:00 ;
F1:CE:BA:00:00:00 ;Group address (multicast MAC address)
CC:C6:DE:00:00:00 ;
FC:A5:34:00:00:00 ;
78:D4:D0:00:00:00 ;
52:EA:D2:00:00:00 ;Locally administered MAC address
7D:F9:65:00:00:00 ;Group address (multicast MAC address)
69:97:42:00:00:00 ;Group address (multicast MAC address)
ED:C7:94:00:00:00 ;Group address (multicast MAC address)
63:C1:91:00:00:00 ;Group address (multicast MAC address)
65:FC:3E:00:00:00 ;Group address (multicast MAC address)
5A:DB:AF:00:00:00 ;Locally administered MAC address
35:99:99:00:00:00 ;Group address (multicast MAC address)
75:B9:26:00:00:00 ;Group address (multicast MAC address)
4E:19:8F:00:00:00 ;Locally administered MAC address
7B:08:59:00:00:00 ;Group address (multicast MAC address)
48:C3:7D:00:00:00 ;
74:F4:74:00:00:00 ;
D6:18:60:00:00:00 ;Locally administered MAC address
43:BD:36:00:00:00 ;Group address (multicast MAC address)
D8:02:4E:00:00:00 ;
4D:44:2B:00:00:00 ;Group address (multicast MAC address)
F4:78:E5:00:00:00 ;
57:36:40:00:00:00 ;Group address (multicast MAC address)
CF:7F:FE:00:00:00 ;Group address (multicast MAC address)
FB:2E:55:00:00:00 ;Group address (multicast MAC address)
