first_time	last_time	devkey	phyname	devmac	strongest_signal	min_lat	min_lon	max_lat	max_lon	avg_lat	avg_lon	bytes_data	type
1696327323	1696327323	4202770D00000000_67E699B10902	IEEE802.11	02:09:B1:99:E6:67	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327324	1696327324	4202770D00000000_12A85E5DAAE4	IEEE802.11	E4:AA:5D:5E:A8:12	-65	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327324	1696327324	4202770D00000000_10A85E5DAAE4	IEEE802.11	E4:AA:5D:5E:A8:10	-65	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327324	1696327324	4202770D00000000_F24B5F5DAAE4	IEEE802.11	E4:AA:5D:5F:4B:F2	-35	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327325	1696327341	B603E01100000000_1BC356A4A466	Bluetooth	66:A4:A4:56:C3:1B	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327326	1696327326	B603E01100000000_F6D8ADF4A660	Bluetooth	60:A6:F4:AD:D8:F6	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327326	1696327326	4202770D00000000_FD4B5F5DAAE4	IEEE802.11	E4:AA:5D:5F:4B:FD	-46	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327326	1696327326	4202770D00000000_7D9ED6395BFC	IEEE802.11	FC:5B:39:D6:9E:7D	-81	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327326	1696327326	4202770D00000000_FF4B5F5DAAE4	IEEE802.11	E4:AA:5D:5F:4B:FF	-46	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327326	1696327326	4202770D00000000_6D9BC20E8854	IEEE802.11	54:88:0E:C2:9B:6D	-81	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi Client
